end_date,p_wt,t_wt,success_rate
12/31/2021,0.74,0.26,0.5236111111111111
12/31/2021,0.75,0.25,0.5232638888888889
12/31/2021,0.76,0.24,0.5225694444444444
12/31/2021,0.77,0.22999999999999998,0.5239583333333333
12/31/2021,0.78,0.21999999999999997,0.5236111111111111
12/31/2021,0.79,0.20999999999999996,0.5232638888888889
12/31/2021,0.8,0.19999999999999996,0.5236111111111111
12/31/2021,0.81,0.18999999999999995,0.5236111111111111
12/31/2021,0.82,0.18000000000000005,0.5239583333333333
12/31/2021,0.83,0.17000000000000004,0.5236111111111111
12/31/2021,0.84,0.16000000000000003,0.5236111111111111
12/31/2021,0.85,0.15000000000000002,0.5246527777777777
12/31/2021,0.86,0.14,0.525
12/31/2021,0.87,0.13,0.5239583333333333
12/31/2021,0.88,0.12,0.5239583333333333
12/31/2021,0.89,0.10999999999999999,0.5239583333333333
12/31/2021,0.9,0.09999999999999998,0.5239583333333333
12/31/2021,0.91,0.08999999999999997,0.5232638888888889
12/31/2021,0.92,0.07999999999999996,0.5236111111111111
12/31/2021,0.93,0.06999999999999995,0.5236111111111111
12/31/2021,0.94,0.06000000000000005,0.5236111111111111
12/31/2021,0.95,0.050000000000000044,0.5236111111111111
12/31/2021,0.96,0.040000000000000036,0.5243055555555556
12/31/2021,0.97,0.030000000000000027,0.5239583333333333
12/31/2021,0.98,0.020000000000000018,0.5239583333333333
12/31/2021,0.99,0.010000000000000009,0.5239583333333333
7/1/2021,0.0,1.0,0.5089285714285714
7/1/2021,0.01,0.99,0.507480694980695
7/1/2021,0.02,0.98,0.507480694980695
7/1/2021,0.03,0.97,0.5060328185328186
7/1/2021,0.04,0.96,0.5053088803088803
7/1/2021,0.05,0.95,0.5041023166023166
7/1/2021,0.06,0.94,0.5014478764478765
7/1/2021,0.07,0.9299999999999999,0.5014478764478765
7/1/2021,0.08,0.92,0.5036196911196911
7/1/2021,0.09,0.91,0.5057915057915058
7/1/2021,0.1,0.9,0.5062741312741312
7/1/2021,0.11,0.89,0.507480694980695
7/1/2021,0.12,0.88,0.5096525096525096
7/1/2021,0.13,0.87,0.5113416988416989
7/1/2021,0.14,0.86,0.5115830115830116
7/1/2021,0.15,0.85,0.513996138996139
7/1/2021,0.16,0.84,0.512065637065637
7/1/2021,0.17,0.83,0.5108590733590733
7/1/2021,0.18,0.8200000000000001,0.5132722007722008
7/1/2021,0.19,0.81,0.5147200772200772
7/1/2021,0.2,0.8,0.515926640926641
7/1/2021,0.21,0.79,0.5156853281853282
7/1/2021,0.22,0.78,0.5154440154440154
7/1/2021,0.23,0.77,0.5154440154440154
