gameID,sport,game_time,team1,team1_pred,team2,team2_pred,lastMod_ESPNpred,away_team_clean,home_team_clean,DC_Game_ID
401520166,college-football,2023-09-02 16:00:00,Western Illinois Leathernecks,14.8%,New Mexico State Aggies,85.2%,07/09/2023 10:27:31 PM,Western Illinois Leathernecks,New Mexico State,09022023-Western Illinois Leathernecks-New Mexico State
401532572,college-football,2023-09-02 11:00:00,Bryant Bulldogs,1.7%,UNLV Rebels,98.3%,07/09/2023 10:27:31 PM,Bryant Bulldogs,UNLV Rebels,09022023-Bryant Bulldogs-UNLV Rebels
401520173,college-football,2023-09-02 14:00:00,New Mexico Lobos,2.4%,Texas A&M Aggies,97.6%,07/09/2023 10:27:32 PM,New Mexico,Texas A&M ,09022023-New Mexico-Texas A&M 
401531841,college-football,2023-09-02 14:00:00,Stephen F. Austin Lumberjacks,1.8%,Troy Trojans,98.2%,07/09/2023 10:27:32 PM,Stephen F. Austin Lumberjacks,Troy Trojans,09022023-Stephen F. Austin Lumberjacks-Troy Trojans
401523987,college-football,2023-08-31 17:00:00,Southern Utah Thunderbirds,3.1%,Arizona State Sun Devils,96.9%,07/09/2023 10:27:32 PM,Southern Utah Thunderbirds,Arizona State Sun Devils,08312023-Southern Utah Thunderbirds-Arizona State Sun Devils
401523995,college-football,2023-09-02 17:30:00,Coastal Carolina Chanticleers,12.2%,UCLA Bruins,87.8%,07/09/2023 10:27:33 PM,Coastal Carolina,UCLA,09022023-Coastal Carolina-UCLA
401525464,college-football,2023-09-02 07:00:00,Northern Illinois Huskies,22.3%,Boston College Eagles,77.7%,07/09/2023 10:27:33 PM,Northern Illinois,Boston College,09022023-Northern Illinois-Boston College
401525824,college-football,2023-09-02 10:30:00,Rice Owls,1.7%,Texas Longhorns,98.3%,07/09/2023 10:27:33 PM,Rice,Texas,09022023-Rice-Texas
401525823,college-football,2023-09-02 14:00:00,Central Arkansas Bears,3.0%,Oklahoma State Cowboys,97.0%,07/09/2023 10:27:34 PM,Central Arkansas Bears,Oklahoma State Cowboys,09022023-Central Arkansas Bears-Oklahoma State Cowboys
401525463,college-football,2023-09-01 14:00:00,Miami (OH) RedHawks,9.1%,Miami Hurricanes,90.9%,07/09/2023 10:27:34 PM,Miami Ohio,Miami Florida ,09012023-Miami Ohio-Miami Florida 
401531837,college-football,2023-09-02 13:00:00,Bucknell Bison,1.9%,James Madison Dukes,98.1%,07/09/2023 10:27:35 PM,Bucknell Bison,James Madison Dukes,09022023-Bucknell Bison-James Madison Dukes
401520148,college-football,2023-08-31 15:00:00,Nebraska Cornhuskers,26.6%,Minnesota Golden Gophers,73.4%,07/09/2023 10:27:35 PM,Nebraska,Minnesota ,08312023-Nebraska-Minnesota 
401525467,college-football,2023-09-02 15:00:00,Old Dominion Monarchs,18.7%,Virginia Tech Hokies,81.3%,07/09/2023 10:27:35 PM,Old Dominion,Virginia Tech ,09022023-Old Dominion-Virginia Tech 
401525817,college-football,2023-09-02 14:00:00,Texas State Bobcats,4.4%,Baylor Bears,95.6%,07/09/2023 10:27:36 PM,Texas State,Baylor,09022023-Texas State-Baylor
401532395,college-football,2023-09-02 09:00:00,Long Island University Sharks,1.3%,Ohio Bobcats,98.7%,07/09/2023 10:27:36 PM,Long Island University Sharks,Ohio,09022023-Long Island University Sharks-Ohio
401523990,college-football,2023-09-02 14:00:00,Washington State Cougars,73.8%,Colorado State Rams,26.2%,07/09/2023 10:27:37 PM,Washington State,Colorado State,09022023-Washington State-Colorado State
401523989,college-football,2023-09-02 17:00:00,Northern Arizona Lumberjacks,3.7%,Arizona Wildcats,96.3%,07/09/2023 10:27:37 PM,Northern Arizona Lumberjacks,Arizona Wildcats,09022023-Northern Arizona Lumberjacks-Arizona Wildcats
401525468,college-football,2023-09-04 15:00:00,Clemson Tigers,85.2%,Duke Blue Devils,14.8%,07/09/2023 10:27:38 PM,Clemson,Duke,09042023-Clemson-Duke
401531387,college-football,2023-09-02 09:00:00,Akron Zips,24.5%,Temple Owls,75.5%,07/09/2023 10:27:38 PM,Akron,Temple,09022023-Akron-Temple
401520178,college-football,2023-09-02 14:00:00,Alabama A&M Bulldogs,1.1%,Vanderbilt Commodores,98.9%,07/09/2023 10:27:38 PM,Alabama A&M Bulldogs,Vanderbilt,09022023-Alabama A&M Bulldogs-Vanderbilt
401520174,college-football,2023-08-31 14:30:00,NC State Wolfpack,87.3%,UConn Huskies,12.7%,07/09/2023 10:27:39 PM,NC State,Connecticut,08312023-NC State-Connecticut
401525819,college-football,2023-09-02 14:00:00,UTSA Roadrunners,35.6%,Houston Cougars,64.4%,07/09/2023 10:27:39 PM,UTSA,Houston,09022023-UTSA-Houston
401531839,college-football,2023-09-02 14:30:00,Northwestern State Demons,2.5%,Louisiana Ragin' Cajuns,97.5%,07/09/2023 10:27:40 PM,Northwestern State Demons,Louisiana Ragin' Cajuns,09022023-Northwestern State Demons-Louisiana Ragin' Cajuns
401532570,college-football,2023-09-02 09:00:00,Robert Morris Colonials,1.1%,Air Force Falcons,98.9%,07/09/2023 10:27:40 PM,Robert Morris Colonials,Air Force Falcons,09022023-Robert Morris Colonials-Air Force Falcons
401523992,college-football,2023-09-02 10:00:00,Portland State Vikings,1.0%,Oregon Ducks,99.0%,07/09/2023 10:27:41 PM,Portland State Vikings,Oregon,09022023-Portland State Vikings-Oregon
401531426,college-football,2023-09-02 14:00:00,Bethune-Cookman Wildcats,1.1%,Memphis Tigers,98.9%,07/09/2023 10:27:41 PM,Bethune-Cookman Wildcats,Memphis Tigers,09022023-Bethune-Cookman Wildcats-Memphis Tigers
401520151,college-football,2023-09-02 10:30:00,UMass Minutemen,2.8%,Auburn Tigers,97.2%,07/09/2023 10:27:41 PM,Massachusetts,Auburn,09022023-Massachusetts-Auburn
401520169,college-football,2023-09-02 14:30:00,West Virginia Mountaineers,9.0%,Penn State Nittany Lions,91.0%,07/09/2023 10:27:42 PM,West Virginia,Penn State,09022023-West Virginia-Penn State
401525816,college-football,2023-08-31 14:00:00,Kent State Golden Flashes,4.3%,UCF Knights,95.7%,07/09/2023 10:27:42 PM,Kent State,Central Florida,08312023-Kent State-Central Florida
401531337,college-football,2023-08-31 15:00:00,Arkansas-Pine Bluff Golden Lions,1.4%,Tulsa Golden Hurricane,98.6%,07/09/2023 10:27:42 PM,Arkansas-Pine Bluff Golden Lions,Tulsa Golden Hurricane,08312023-Arkansas-Pine Bluff Golden Lions-Tulsa Golden Hurricane
401520181,college-football,2023-09-02 10:30:00,South Florida Bulls,30.2%,Western Kentucky Hilltoppers,69.8%,07/09/2023 10:27:43 PM,South Florida,Western Kentucky,09022023-South Florida-Western Kentucky
401531418,college-football,2023-09-02 13:00:00,Monmouth Hawks,6.4%,Florida Atlantic Owls,93.6%,07/09/2023 10:27:43 PM,Monmouth Hawks,Florida Atlantic Owls,09022023-Monmouth Hawks-Florida Atlantic Owls
401525435,college-football,2023-09-02 10:30:00,Tennessee State Tigers,1.0%,Notre Dame Fighting Irish,99.0%,07/09/2023 10:27:44 PM,Tennessee State Tigers,Notre Dame,09022023-Tennessee State Tigers-Notre Dame
401525462,college-football,2023-09-01 14:30:00,Louisville Cardinals,65.8%,Georgia Tech Yellow Jackets,34.2%,07/09/2023 10:27:44 PM,Louisville,Georgia Tech,09012023-Louisville-Georgia Tech
401520145,college-football,2023-08-26 12:30:00,UTEP Miners,52.2%,Jacksonville State Gamecocks,47.8%,07/09/2023 10:27:44 PM,UTEP,Jacksonville State,08262023-UTEP-Jacksonville State
401523986,college-football,2023-08-26 15:00:00,San José State Spartans,2.6%,USC Trojans,97.4%,07/09/2023 10:27:45 PM,San Jose State,USC,08262023-San Jose State-USC
401523994,college-football,2023-09-02 07:00:00,Colorado Buffaloes,5.4%,TCU Horned Frogs,94.6%,07/09/2023 10:27:45 PM,Colorado,TCU,09022023-Colorado-TCU
401531347,college-football,2023-09-02 15:00:00,South Alabama Jaguars,22.4%,Tulane Green Wave,77.6%,07/09/2023 10:27:46 PM,South Alabama,Tulane,09022023-South Alabama-Tulane
401520152,college-football,2023-09-02 17:15:00,Sam Houston Bearkats,5.8%,BYU Cougars,94.2%,07/09/2023 10:27:46 PM,Sam Houston State,BYU,09022023-Sam Houston State-BYU
401520167,college-football,2023-09-02 14:30:00,North Carolina Tar Heels,64.4%,South Carolina Gamecocks,35.6%,07/09/2023 10:27:46 PM,North Carolina,South Carolina,09022023-North Carolina-South Carolina
401531836,college-football,2023-09-02 13:00:00,The Citadel Bulldogs,6.9%,Georgia Southern Eagles,93.1%,07/09/2023 10:27:47 PM,The Citadel Bulldogs,Georgia Southern Eagles,09022023-The Citadel Bulldogs-Georgia Southern Eagles
401531402,college-football,2023-09-02 13:00:00,South Carolina State Bulldogs,8.2%,Charlotte 49ers,91.8%,07/09/2023 10:27:47 PM,South Carolina State Bulldogs,Charlotte 49ers,09022023-South Carolina State Bulldogs-Charlotte 49ers
401531838,college-football,2023-09-02 13:00:00,Albany Great Danes,7.0%,Marshall Thundering Herd,93.0%,07/09/2023 10:27:47 PM,Albany Great Danes,Marshall Thundering Herd,09022023-Albany Great Danes-Marshall Thundering Herd
401520164,college-football,2023-09-02 11:00:00,SE Louisiana Lions,2.8%,Mississippi State Bulldogs,97.2%,07/09/2023 10:27:48 PM,SE Louisiana Lions,Mississippi State,09022023-SE Louisiana Lions-Mississippi State
401525820,college-football,2023-09-02 09:00:00,Northern Iowa Panthers,7.8%,Iowa State Cyclones,92.2%,07/09/2023 10:27:48 PM,Northern Iowa Panthers,Iowa State Cyclones,09022023-Northern Iowa Panthers-Iowa State Cyclones
401525815,college-football,2023-09-01 15:00:00,Missouri State Bears,2.5%,Kansas Jayhawks,97.5%,07/09/2023 10:27:49 PM,Missouri State Bears,Kansas,09012023-Missouri State Bears-Kansas
401520182,college-football,2023-09-03 14:30:00,LSU Tigers,68.2%,Florida State Seminoles,31.8%,07/09/2023 10:27:49 PM,LSU,Florida State,09032023-LSU-Florida State
